global_capture,point_index,pulse,x_target_nm,y_target_nm,x_nm,y_nm,peak_intensity_mV
,59,1,-500000,0,0.0,-3779.527559055118,631.7667322834645
,59,2,-500000,0,-1882.3818897637796,0.0,236.83562992125985
,59,3,-500000,0,0.0,0.0,631.7667322834645
,60,1,-250000,0,-1882.3818897637796,0.0,552.7189960629921
,60,2,-250000,0,-7529.527559055118,0.0,236.83562992125985
,60,3,-250000,0,0.0,0.0,631.7667322834645
,61,1,0,0,-3764.763779527559,0.0,631.7667322834645
,61,2,0,0,-3764.763779527559,0.0,236.83562992125985
,61,3,0,0,-3764.763779527559,0.0,631.7667322834645
,62,1,250000,0,-1882.3818897637796,-3779.527559055118,631.7667322834645
,62,2,250000,0,-5647.145669291339,0.0,236.83562992125985
,62,3,250000,0,-1882.3818897637796,-3779.527559055118,631.7667322834645
,63,1,500000,0,-3764.763779527559,0.0,631.7667322834645
,63,2,500000,0,-7529.527559055118,0.0,236.83562992125985
,63,3,500000,0,0.0,0.0,631.7667322834645
,64,1,750000,0,5647.145669291339,0.0,631.7667322834645
,64,2,750000,0,0.0,0.0,236.83562992125985
,64,3,750000,0,0.0,0.0,631.7667322834645
,65,1,1000000,0,-1882.3818897637796,0.0,631.7667322834645
,65,2,1000000,0,-9411.909448818898,0.0,236.83562992125985
,65,3,1000000,0,-1882.3818897637796,-3779.527559055118,631.7667322834645
,66,1,1250000,0,3764.763779527559,0.0,631.7667322834645
,66,2,1250000,0,-3764.763779527559,0.0,236.83562992125985
,66,3,1250000,0,-5647.145669291339,-3779.527559055118,631.7667322834645
,67,1,-1250000,250000,-1882.3818897637796,-3779.527559055118,631.7667322834645
